id,tipo,autor,title,seccion,categoria,video_id,video_url,description,program_id
18,video,Monique Andrews,Harnessing the Healing Power of the Vagus,cope_together,N/A,854103502,https://vimeo.com/854103502,Learn the top five ways to stimulate your vagus nerve to improve your body's ability to adapt to its environment and heal.,15.0
19,video,Laia Bové,Nourish and Restore,cope_special,N/A,854104462,https://vimeo.com/854104462,"This gentle, nourishing yoga practice that you can do anytime you may feel slightly overwhelmed. Take a moment to pause, ground yourself, and come back to your center.",9.0
20,video,Tanvir Mann,Eye Movement Desensitization Reprogramming for Anxiety Relief,cope_live,N/A,854103776,https://vimeo.com/854103776,Learn about Eye Movement Desensitization Reprocessing (EMDR) with licensed marriage and family therapist Tanvir Mann. Explore some of the techniques suggested to address anxiety you may experencing.,10.0
32,video,Haley Turpin,Releasing Frustration Breathwork,cope_special,N/A,854918192,https://vimeo.com/854918192,"In this guided practice, you'll use two breathing techniques to allow this emotion to fully be felt and then released through the breath creating more space for the things that you love.",10.0
44,video,Haley Turpin,Breath Before Bed,cope_together,N/A,855914745,https://vimeo.com/855914745,Reflect and release your day as you get ready to move into a peaceful night of sleep.,15.0
45,video,Tamara MacIntyre,Food Fuel or Therapy,cope_together,N/A,855914137,https://vimeo.com/855914137,Supporting your health challenge with moderate choices when it comes to nutritional changes to promote healing.,
48,video,Tamara MacIntyre,Inside & Outside the Medical System,cope_together,N/A,854704849,https://vimeo.com/854704849,What does it look like to address chronic illness or a health challenge with conventional medicine and what you can do outside of that to promote healing with author Sarah Ramey.,
49,video,Tamara MacIntyre,The Gift of Illness and Acceptance,cope_together,N/A,854711098,https://vimeo.com/854711098,Gain perspective with author Sarah Ramey on how to view a chronic illness of a gift and the process of accepting it into your life.,8.0
50,video,Tamara MacIntyre,Isolation & the Need for Connection,cope_together,N/A,854711501,https://vimeo.com/854711501,An interview with author Sarah Ramey to examine the idea that chronic illness can be isolating and the importance of connection while navigating that feeling.,13.0
51,video,Cyndi Lee,Buddha Approach to Chronic Illness,cope_together,N/A,855917097,https://vimeo.com/855917097,"In this cōpe SPECIAL, cōpe co-founder sits down with Cyndi Lee to explore how Buddhists approach chronic illness.",
52,video,Monique Andrews,Plant Flowers of Possibility,cope_daily,N/A,855918753,https://vimeo.com/855918753,Strategies for your mind when you're struggling to face a challenge.,
53,video,Charlie Moult,Breathwork for Energetic Attunement ,cope_special,N/A,856675581,https://vimeo.com/856675581,"This breath practice will help you work with the energy of your body to feel more peaceful, present, and content.",14.0
55,video,Ceri Conway,Light in the Heart Meditation,cope_special,N/A,857188138,https://vimeo.com/857188138,Awaken your heart through this guided meditation while settling the thoughts in your mind.,10.0
56,video,Ceri Conway,Wisdom in the Body,cope_special,N/A,857188370,https://vimeo.com/857188370,A short restorative yoga practice that allows the wisdom to flow throughout your body. Feel your body's inner connectedness and offer compassion to areas that need it.,14.0
57,video,Joana Ayala,A Sound Journey for Serenity,cope_live,N/A,857189274,https://vimeo.com/857189274,This sound journey is comprised of healing tones to relax and rejuvenate your body. Experience stillness and practice conscious litening to carry with you on your day.,14.0
58,video,Ceri Conway,Nidra for Light through the Body,cope_special,N/A,857188665,https://vimeo.com/857188665,Find a comfortable position for this practice that leads you to expereience awakened dreams through yoga nidra.,15.0
59,video,Joana Ayala,A Sound Journey for Deep Relaxation ,cope_special,N/A,857189714,https://vimeo.com/857189714,This sound journey is comprised of healing tones for your whole body to receive each sound and use it to deeply surrender to relaxation.,15.0
60,video,Nathaniel Jenkins,Particles of Healing,cope_special,N/A,857405668,https://vimeo.com/857405668,A technique to use when experiencing discomfort in the body.,
61,video,Nathaniel Jenkins,The Heart of Healing,cope_live,N/A,857405801,https://vimeo.com/857405801,Activate your heart for healing using your energetic body.,
